knum	threshold	score_type	profile_type	F-measure	nseq	nseq_used	alen	mlen	eff_nseq	re/pos	definition
K13691	671.37	full	all	0.745986	950	910	2011	715	2.63	0.590	pathogen-inducible salicylic acid glucosyltransferase [EC:2.4.1.-]
K13692	559.07	domain	all	0.823208	313	298	905	467	1.51	0.590	UDP-glucose:(indol-3-yl)acetate beta-D-glucosyltransferase [EC:2.4.1.121]
K13693	120.77	domain	all	0.993563	1482	1322	2304	404	6.86	0.590	glucosyl-3-phosphoglycerate synthase [EC:2.4.1.266]
K13694	191.53	domain	all	0.516048	1337	952	1222	286	6.58	0.590	murein DD-endopeptidase / murein LD-carboxypeptidase [EC:3.4.-.- 3.4.17.13]
K13695	188.87	domain	trim	0.482808	1442	1013	882	214	6.56	0.590	probable lipoprotein NlpC
K13696	354.83	full	all	1.000000	955	893	2725	622	3.27	0.590	abhydrolase domain-containing protein 1/3
K13697	275.67	full	all	0.999219	739	644	1417	532	1.97	0.590	abhydrolase domain-containing protein 2
K13698	556.40	domain	all	0.912584	513	455	1365	431	1.20	0.591	abhydrolase domain-containing protein 4
K13699	564.13	full	all	0.945810	517	488	1630	399	1.06	0.591	abhydrolase domain-containing protein 5 [EC:2.3.1.51]
K13700	172.17	full	all	0.999097	605	556	1437	422	2.63	0.589	abhydrolase domain-containing protein 6 [EC:3.1.1.23]
K13701	288.83	full	all	0.979021	601	560	2191	548	2.74	0.590	abhydrolase domain-containing protein 8
K13702	322.20	full	all	0.978674	486	455	1130	411	2.04	0.590	abhydrolase domain-containing protein 10 [EC:3.1.1.93]
K13703	329.13	full	all	0.951689	611	582	1997	457	3.41	0.590	abhydrolase domain-containing protein 11
K13704	441.23	full	all	0.809135	709	675	2955	455	3.06	0.590	abhydrolase domain-containing protein 12 [EC:3.1.1.23]
K13705	497.40	full	trim	0.934672	435	421	1529	451	1.80	0.591	abhydrolase domain-containing protein 12B [EC:3.-.-.-]
K13706	89.60	full	all	0.979216	857	802	2854	451	5.27	0.590	abhydrolase domain-containing protein 14
K13707	253.27	full	all	0.996362	558	550	2322	576	2.86	0.590	abhydrolase domain-containing protein 15
K13708	2748.33	full	all	0.695979	638	625	8107	1896	2.48	0.590	dedicator of cytokinesis protein 1
K13709	1937.73	full	all	0.971932	430	403	2870	1486	1.49	0.590	Rho GTPase-activating protein 5
K13710	1073.37	full	all	0.799899	699	676	4555	821	3.10	0.590	Rho guanine nucleotide exchange factor 7
K13711	223.77	full	all	0.997356	1231	1131	5686	576	2.00	0.590	phosphatidylinositol 4-kinase type 2 [EC:2.7.1.67]
K13712	308.50	domain	all	0.993748	418	404	1979	517	2.12	0.590	phosphatidylinositol-4-phosphate 5-kinase-like protein 1 [EC:2.7.1.68]
K13713	957.87	full	all	0.944396	56	38	1094	756	1.16	0.592	fusion protein PurCD [EC:6.3.2.6 6.3.4.13]
K13714	434.67	domain	trim	0.965262	123	78	2148	1375	1.25	0.589	bifunctional autolysin [EC:3.5.1.28 3.2.1.96]
K13715	654.97	full	all	0.948718	60	21	477	356	0.91	0.591	staphopain B [EC:3.4.22.-]
K13716	321.67	full	all	0.998617	376	363	1318	640	2.20	0.590	OTU domain-containing protein 1 [EC:3.4.19.12]
K13717	155.67	full	all	0.973992	713	686	3027	439	7.24	0.590	OTU domain-containing protein 3 [EC:3.4.19.12]
K13718	608.53	full	trim	0.822363	515	507	5010	891	5.07	0.590	OTU domain-containing protein 4 [EC:3.4.19.12]
K13719	87.23	domain	all	0.996382	1038	965	2254	484	6.08	0.590	ubiquitin thioesterase OTU1 [EC:3.1.2.-]
K13720	369.53	full	trim	0.970788	487	474	1148	439	2.51	0.590	N-(long-chain-acyl)ethanolamine deacylase [EC:3.5.1.60]
K13721	1007.33	domain	all	0.956614	209	206	3126	1138	1.90	0.590	aminopeptidase 2 [EC:3.4.11.-]
K13722	904.63	domain	trim	0.882852	116	96	1065	806	1.62	0.590	tricorn protease interacting factor F2/3 [EC:3.4.11.-]
K13723	1420.40	domain	all	0.915195	302	302	1754	952	1.50	0.589	endoplasmic reticulum aminopeptidase 2 [EC:3.4.11.-]
K13724	1058.40	domain	all	0.961635	277	271	2375	1016	1.69	0.589	aminopeptidase Q [EC:3.4.11.-]
K13725	2009.07	full	all	1.000000	14	12	1138	1084	0.50	0.590	M1-family aminopeptidase [EC:3.4.11.-]
K13726	865.27	full	all	0.706810	187	183	2261	1217	3.52	0.590	metallopeptidase MepB [EC:3.4.24.-]
K13727	153.00	full	all	1.000000	534	355	294	174	0.99	0.590	phenolic acid decarboxylase [EC:4.1.1.-]
K13728	116.60	full	all	0.986702	900	682	1958	341	7.05	0.590	mitotic spindle assembly checkpoint protein MAD2B
K13729	798.67	full	all	1.000000	8	7	452	450	0.55	0.591	thiol-dependent reductase 1
K13730	193.77	domain	all	0.494446	821	705	12071	539	20.19	0.590	internalin A
K13731	428.73	full	all	0.829249	120	69	2806	810	3.41	0.590	internalin B
K13732	676.50	full	all	0.619199	99	68	2945	947	6.03	0.590	fibronectin-binding protein A
K13733	677.13	domain	trim	0.741349	66	39	1865	938	2.00	0.589	fibronectin-binding protein B
K13734	102.37	domain	all	0.960637	128	93	2430	614	7.13	0.590	fibronectin-binding protein 1
K13735	182.83	domain	trim	0.899934	600	478	24865	1828	11.06	0.590	adhesin/invasin
K13736	1186.03	full	all	0.946952	414	407	2437	807	1.23	0.590	Rho GTPase-activating protein 10
K13737	713.77	domain	all	0.956076	181	156	1137	488	0.81	0.588	septin 1
K13738	634.33	full	all	0.984934	413	405	2918	846	2.02	0.590	CD2-associated protein
K13739	654.17	full	all	1.000000	52	23	360	333	0.47	0.593	secreted effector protein SopD
K13740	630.77	full	all	1.000000	48	23	546	535	0.56	0.588	secreted effector protein SptP
K13741	109.57	full	all	1.000000	128	48	700	332	2.08	0.590	guanine nucleotide exchange factor SopE
K13742	474.10	full	all	1.000000	6	5	208	208	0.42	0.595	protein IpgB1
K13743	434.70	full	all	1.000000	7	4	191	188	0.39	0.591	protein IpgB2
K13744	924.67	full	all	0.970600	395	386	3712	1064	2.10	0.590	Rho guanine nucleotide exchange factor 26
K13745	422.53	full	trim	0.867182	1536	1387	2320	619	4.99	0.590	L-2,4-diaminobutyrate decarboxylase [EC:4.1.1.86]
K13746	765.53	full	all	0.992908	89	72	459	414	0.69	0.588	carboxynorspermidine synthase [EC:1.5.1.43]
K13747	203.97	full	all	0.998951	1609	1428	1926	643	2.34	0.590	carboxynorspermidine decarboxylase [EC:4.1.1.96]
K13748	446.80	domain	all	0.932648	1007	946	2864	843	5.30	0.590	alpha-1,3-mannosylglycoprotein beta-1,4-N-acetylglucosaminyltransferase C [EC:2.4.1.201 2.4.1.145]
K13749	993.53	full	all	0.973349	442	440	3630	778	1.38	0.591	solute carrier family 24 (sodium/potassium/calcium exchanger), member 1
K13750	945.67	full	all	0.877457	604	583	3738	765	1.93	0.590	solute carrier family 24 (sodium/potassium/calcium exchanger), member 2
K13751	963.80	full	all	0.873909	752	721	2982	789	1.98	0.590	solute carrier family 24 (sodium/potassium/calcium exchanger), member 3
K13752	763.30	domain	all	0.516789	846	813	2884	562	2.22	0.590	solute carrier family 24 (sodium/potassium/calcium exchanger), member 4
K13753	697.50	full	all	0.817449	538	523	2186	615	3.36	0.590	solute carrier family 24 (sodium/potassium/calcium exchanger), member 5
K13754	239.40	domain	all	0.986214	1728	1685	7974	708	6.85	0.590	solute carrier family 24 (sodium/potassium/calcium exchanger), member 6
K13755	419.23	full	all	0.985080	1490	1421	7761	700	2.42	0.590	calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase [EC:3.1.4.17]
K13756	1640.27	full	all	0.940895	404	386	2170	854	0.74	0.591	rod cGMP-specific 3',5'-cyclic phosphodiesterase subunit beta [EC:3.1.4.35]
K13757	1477.97	domain	trim	0.970864	430	420	2132	852	0.62	0.591	cone cGMP-specific 3',5'-cyclic phosphodiesterase subunit alpha' [EC:3.1.4.35]
K13758	76.83	full	all	1.000000	689	393	676	270	2.91	0.590	retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta
K13759	181.10	full	all	0.822137	495	271	386	164	2.07	0.590	retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma
K13760	164.20	domain	trim	0.716469	576	384	360	140	1.46	0.589	retinal cone rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma
K13761	408.83	full	all	0.982597	929	899	5884	669	2.66	0.590	high affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9 [EC:3.1.4.35]
K13762	1171.23	full	trim	0.913326	486	470	2753	973	1.75	0.591	cGMP-specific 3',5'-cyclic phosphodiesterase [EC:3.1.4.35]
K13763	1188.73	full	all	0.899032	248	244	3967	1019	2.11	0.590	cGMP-specific 3',5'-cyclic phosphodiesterase, invertebrate [EC:3.1.4.35]
K13764	300.60	domain	all	0.990812	642	547	894	442	1.66	0.589	recoverin
K13765	776.97	full	all	0.980257	507	491	1669	675	1.17	0.589	regulator of G-protein signaling 9
K13766	267.80	domain	trim	0.953732	2140	1904	756	272	3.48	0.590	methylglutaconyl-CoA hydratase [EC:4.2.1.18]
K13767	314.43	domain	all	0.927669	411	328	393	257	2.25	0.590	enoyl-CoA hydratase [EC:4.2.1.17]
K13768	74.23	full	all	0.985330	228	202	316	149	2.34	0.590	gastrin
K13769	155.47	full	all	0.922610	485	439	1343	271	6.31	0.590	insulin-like growth factor 2
K13770	130.60	domain	all	0.927628	666	555	695	219	6.17	0.590	TetR/AcrR family transcriptional regulator, fatty acid metabolism regulator protein
K13771	129.60	full	all	0.873337	3230	2516	850	206	6.75	0.590	Rrf2 family transcriptional regulator, nitric oxide-sensitive transcriptional repressor
K13772	178.23	full	all	0.960921	268	185	239	152	1.82	0.590	Rrf2 family transcriptional regulator, iron-responsive regulator
K13773	123.33	full	all	1.000000	17	16	334	200	0.83	0.591	p53-regulated apoptosis-inducing protein 1
K13774	393.07	full	all	0.998374	372	309	468	289	0.87	0.589	citronellol/citronellal dehydrogenase
K13775	224.20	domain	all	0.994895	1223	1078	728	362	2.28	0.590	citronellol/citronellal dehydrogenase
K13776	734.90	domain	all	0.964446	231	201	723	613	1.29	0.591	citronellyl-CoA synthetase [EC:6.2.1.-]
K13777	923.27	full	all	0.935470	435	404	1498	935	1.44	0.591	geranyl-CoA carboxylase alpha subunit [EC:6.4.1.5]
K13778	804.00	full	all	0.997354	434	380	715	540	0.86	0.590	geranyl-CoA carboxylase beta subunit [EC:6.4.1.5]
K13779	272.67	full	all	0.992633	319	270	385	269	1.45	0.589	isohexenylglutaconyl-CoA hydratase [EC:4.2.1.57]
K13780	767.23	domain	all	0.726539	1168	1099	2202	591	2.28	0.590	solute carrier family 7 (L-type amino acid transporter), member 5
K13781	841.47	domain	trim	0.910357	656	623	1800	609	1.98	0.591	solute carrier family 7 (L-type amino acid transporter), member 8
K13782	938.80	full	all	0.925584	514	484	2465	597	1.05	0.590	solute carrier family 7 (D/L-type amino acid transporter), member 10
K13783	525.50	full	all	0.969818	1782	1718	4728	735	3.00	0.590	MFS transporter, OPA family, solute carrier family 37 (glycerol-3-phosphate transporter), member 1/2
K13784	49.80	full	all	0.991160	866	680	1304	199	4.14	0.590	prothymosin alpha
K13785	86.90	domain	trim	0.648206	324	165	134	79	2.67	0.717	thymosin beta 10
K13786	209.70	full	all	0.895591	257	195	311	171	1.69	0.590	cob(II)yrinic acid a,c-diamide reductase [EC:1.16.8.-]
K13787	296.00	domain	all	0.829181	3182	2883	3382	424	8.36	0.590	geranylgeranyl diphosphate synthase, type I [EC:2.5.1.1 2.5.1.10 2.5.1.29]
K13788	569.23	full	all	0.992650	3099	2538	1924	780	2.83	0.590	phosphate acetyltransferase [EC:2.3.1.8]
K13789	359.57	full	all	0.537867	4933	4336	2839	360	7.01	0.590	geranylgeranyl diphosphate synthase, type II [EC:2.5.1.1 2.5.1.10 2.5.1.29]
K13790	489.80	full	all	1.000000	48	25	704	506	1.11	0.590	virulence protein IcsB
K13791	1297.30	full	all	1.000000	6	6	555	545	0.41	0.594	invasion plasmid antigen
K13792	194.33	full	all	1.000000	18	11	209	190	0.82	0.591	secreted effector OspG
K13793	101.70	full	all	1.000000	28	11	106	92	0.85	0.620	secreted effector OspE
K13794	334.57	full	all	0.994801	394	290	405	308	1.62	0.590	LysR family transcriptional regulator, regulatory protein for tcuABC
K13795	321.07	full	all	0.989042	525	452	714	376	1.37	0.590	citrate/tricarballylate utilization protein
K13796	288.23	full	all	0.999261	759	674	1413	510	2.28	0.590	tricarballylate dehydrogenase
K13797	2929.10	full	all	0.974460	131	120	3441	2712	0.82	0.590	DNA-directed RNA polymerase subunit beta-beta' [EC:2.7.7.6]
K13798	1500.53	full	all	0.987421	178	162	1543	1108	0.91	0.588	DNA-directed RNA polymerase subunit B [EC:2.7.7.6]
K13799	470.87	full	all	0.977153	165	156	1219	630	1.40	0.590	pantoate ligase / CMP/dCMP kinase [EC:6.3.2.1 2.7.4.25]
K13800	271.30	domain	trim	0.933836	1575	1454	2639	298	4.34	0.590	UMP-CMP kinase [EC:2.7.4.14]
K13801	655.87	full	all	0.841280	504	484	2090	464	1.65	0.590	arrestin-C
K13802	615.83	domain	all	0.478880	90	82	556	368	0.93	0.590	opsin Rh1
K13803	1401.73	full	all	0.937660	175	174	3239	1139	1.77	0.590	transient-receptor-potential-like protein
K13804	858.33	domain	trim	0.838260	53	52	1246	655	1.35	0.590	inactivation no afterpotential D protein
K13805	544.80	domain	all	0.941762	284	255	1240	394	1.16	0.590	arrestin-2
K13806	111.73	domain	all	0.998404	1288	1252	8781	1077	6.90	0.590	sn1-specific diacylglycerol lipase [EC:3.1.1.116]
K13807	412.80	domain	all	0.990573	1077	1062	6063	822	2.50	0.590	serine/threonine-protein phosphatase with EF-hands [EC:3.1.3.16]
K13808	547.87	domain	trim	0.898291	226	213	903	474	1.88	0.590	arrestin-1
K13809	130.53	full	all	1.000000	451	437	1766	493	4.35	0.590	UMP-CMP kinase 2, mitochondrial [EC:2.7.4.14]
K13810	637.07	full	trim	0.897376	272	197	1298	946	1.31	0.591	transaldolase / glucose-6-phosphate isomerase [EC:2.2.1.2 5.3.1.9]
K13811	426.37	full	all	0.993245	1646	1559	3938	833	2.34	0.590	3'-phosphoadenosine 5'-phosphosulfate synthase [EC:2.7.7.4 2.7.1.25]
K13812	357.40	full	all	0.968639	132	116	792	480	1.54	0.591	bifunctional enzyme Fae/Hps [EC:4.2.1.147 4.1.2.43]
K13813	393.53	full	all	0.875734	572	511	1228	345	2.90	0.590	syntaxin 12/13
K13814	226.73	full	trim	0.963743	422	403	2595	411	3.91	0.590	t-SNARE domain-containing protein 1
K13815	448.93	domain	all	0.960661	340	300	710	357	1.58	0.590	two-component system, response regulator RpfG
K13816	206.70	full	all	1.000000	495	407	581	291	2.05	0.590	DSF synthase
K13818	244.03	domain	trim	0.878024	113	90	673	365	2.94	0.590	molybdopterin-guanine dinucleotide biosynthesis protein [EC:2.7.7.77]
K13819	209.00	full	trim	0.930071	761	577	666	309	4.03	0.590	NifU-like protein
K13820	644.27	full	all	1.000000	76	65	637	610	0.96	0.588	flagellar biosynthesis protein FliR/FlhB
K13821	663.60	full	all	0.994243	3983	3574	5904	1221	4.44	0.590	RHH-type transcriptional regulator, proline utilization regulon repressor / proline dehydrogenase / delta 1-pyrroline-5-carboxylate dehydrogenase [EC:1.5.5.2 1.2.1.88]
K13822	247.90	domain	all	0.671122	1427	1162	906	367	4.38	0.590	hemoglobin subunit alpha
K13823	291.70	domain	trim	0.551921	887	703	615	261	3.02	0.590	hemoglobin subunit beta
K13824	306.73	full	all	0.886596	49	30	147	147	0.62	0.588	hemoglobin subunit gamma
K13825	158.10	full	all	0.427378	1003	877	811	219	3.28	0.590	hemoglobin subunit epsilon
K13826	269.07	domain	all	0.612668	528	462	876	246	4.14	0.590	hemoglobin subunit zeta
K13827	244.00	domain	all	0.894963	143	120	375	144	1.12	0.589	hemoglobin subunit theta
K13828	199.67	domain	all	0.955491	113	83	395	189	1.69	0.590	hemoglobin subunit mu
K13829	503.33	full	all	0.788337	398	348	2450	805	4.20	0.590	shikimate kinase / 3-dehydroquinate synthase [EC:2.7.1.71 4.2.3.4]
K13830	842.30	full	all	1.000000	180	178	2524	1573	1.14	0.590	pentafunctional AROM polypeptide [EC:4.2.3.4 4.2.1.10 1.1.1.25 2.7.1.71 2.5.1.19]
K13831	280.07	full	all	0.919003	169	160	813	428	2.46	0.591	3-hexulose-6-phosphate synthase / 6-phospho-3-hexuloisomerase [EC:4.1.2.43 5.3.1.27]
K13832	369.33	full	all	0.957897	768	652	2285	919	4.30	0.590	3-dehydroquinate dehydratase / shikimate dehydrogenase [EC:4.2.1.10 1.1.1.25]
K13833	232.17	full	all	1.000000	14	14	262	242	0.84	0.589	sporozoite microneme protein
K13834	325.60	full	all	1.000000	27	27	1909	807	2.48	0.590	sporozoite microneme protein 2
K13835	124.33	full	all	1.000000	19	19	346	195	1.23	0.591	cell-traversal protein for ookinetes and sporozoites
K13836	225.23	domain	all	0.933333	6	6	445	425	0.74	0.589	circumsporozoite protein
K13837	337.50	domain	all	1.000000	17	17	1293	643	1.42	0.589	thrombospondin-related anonymous protein
K13838	1512.33	full	all	1.000000	13	13	2373	1687	0.99	0.590	merozoite surface protein 1
K13839	283.27	full	all	1.000000	5	5	335	264	0.76	0.592	merozoite surface protein 2
K13840	603.60	full	all	1.000000	4	4	387	374	0.52	0.591	merozoite surface protein 3
K13841	170.30	full	all	1.000000	10	9	314	230	1.00	0.589	merozoite surface protein 4
K13842	297.07	full	all	1.000000	9	7	465	359	0.84	0.591	merozoite surface protein 5
K13843	543.40	full	all	1.000000	4	4	433	380	0.60	0.593	merozoite surface protein 6
K13844	448.93	full	all	1.000000	13	13	662	493	0.80	0.590	merozoite surface protein 8
K13845	422.93	full	all	1.000000	20	20	927	594	1.13	0.589	apical merozoite antigen 1
K13846	670.17	full	all	1.000000	3	3	1083	830	0.67	0.590	Duffy binding protein
K13847	2375.83	full	all	1.000000	4	4	1716	1581	0.52	0.590	erythrocyte-binding antigen 175
K13848	2151.57	full	all	0.888889	5	5	1578	1288	0.66	0.588	erythrocyte-binding antigen 140
K13849	868.57	full	all	1.000000	30	30	4128	2754	3.33	0.590	reticulocyte-binding protein
K13850	253.23	full	all	1.000000	161	160	13703	2074	1.94	0.591	erythrocyte membrane protein 1
K13851	141.17	full	all	0.993769	162	162	768	370	2.59	0.591	repetitive interspersed family protein
K13852	238.73	full	all	1.000000	52	52	372	299	1.08	0.591	subtelomeric variable open reading frame
K13853	461.87	full	all	0.993730	695	483	449	359	0.83	0.588	3-deoxy-7-phosphoheptulonate synthase / chorismate mutase [EC:2.5.1.54 5.4.99.5]
K13854	1008.00	full	all	1.000000	8	3	473	473	0.40	0.592	MFS transporter, SP family, glucose uniporter
K13855	1777.07	full	all	0.722501	708	697	6620	1215	1.58	0.590	solute carrier family 4 (anion exchanger), member 2
K13856	1759.13	full	all	0.869555	475	465	4635	1224	1.71	0.590	solute carrier family 4 (anion exchanger), member 3
K13857	1880.23	full	all	0.957949	504	500	4418	1208	0.78	0.589	solute carrier family 4 (sodium bicarbonate cotransporter), member 5
K13858	2043.43	full	trim	0.925450	510	503	4071	1226	0.99	0.591	solute carrier family 4 (sodium bicarbonate cotransporter), member 7
K13859	1987.43	domain	all	0.846304	474	450	3041	1330	1.28	0.590	solute carrier family 4 (sodium bicarbonate cotransporter), member 8
K13860	1549.43	domain	all	0.971553	147	146	1676	955	0.62	0.589	solute carrier family 4 (sodium bicarbonate cotransporter), member 9
K13861	2085.13	domain	all	0.806513	672	645	5220	1427	1.43	0.590	solute carrier family 4 (sodium bicarbonate transporter), member 10
K13862	649.77	full	all	0.986864	625	614	4800	890	2.15	0.590	solute carrier family 4 (sodium borate transporter), member 11
K13863	949.83	domain	all	0.853229	987	943	4074	1108	2.92	0.590	solute carrier family 7 (cationic amino acid transporter), member 1
K13864	974.87	domain	all	0.791192	960	937	3766	729	2.01	0.591	solute carrier family 7 (cationic amino acid transporter), member 2
K13865	1017.97	full	all	0.572503	1399	1366	4802	1137	4.48	0.590	solute carrier family 7 (cationic amino acid transporter), member 3
K13866	773.97	full	all	0.892813	808	773	3182	720	3.01	0.590	solute carrier family 7 (cationic amino acid transporter), member 4
K13867	972.97	domain	all	0.749230	482	459	1497	628	1.82	0.590	solute carrier family 7 (L-type amino acid transporter), member 7
K13868	679.40	full	all	0.888547	1457	1402	4230	745	4.16	0.590	solute carrier family 7 (L-type amino acid transporter), member 9/15
K13869	681.63	domain	all	0.922770	754	719	2244	557	1.69	0.590	solute carrier family 7 (L-type amino acid transporter), member 11
K13870	524.93	domain	trim	0.946887	347	337	1376	543	1.77	0.590	solute carrier family 7 (L-type amino acid transporter), member 12/13
K13871	807.57	full	trim	0.961790	748	715	3920	884	3.27	0.590	solute carrier family 7 (cationic amino acid transporter), member 14
K13872	972.93	domain	all	0.722095	671	644	2153	743	2.65	0.590	solute carrier family 7 (L-type amino acid transporter), member 6
K13873	462.73	full	all	0.887047	94	79	492	310	1.31	0.589	L-arabinose 1-dehydrogenase [EC:1.1.1.376]
K13874	339.60	domain	all	0.997636	260	212	856	696	1.36	0.589	L-arabinonolactonase [EC:3.1.1.15]
K13875	988.33	full	trim	0.965876	739	671	716	575	0.73	0.591	L-arabonate dehydrase [EC:4.2.1.25]
K13876	289.63	full	trim	0.890591	477	452	538	306	3.04	0.590	2-keto-3-deoxy-L-arabinonate dehydratase [EC:4.2.1.43]
K13877	610.90	full	trim	0.966607	2233	2034	1088	538	1.84	0.590	2,5-dioxopentanoate dehydrogenase [EC:1.2.1.26]
K13878	815.20	full	trim	0.932566	404	383	2080	673	1.59	0.591	bestrophin-1
K13879	799.77	full	all	0.924731	348	333	1847	611	1.74	0.590	bestrophin-2
K13880	795.70	full	trim	0.958593	369	361	1468	624	1.01	0.591	bestrophin-3
K13881	770.53	full	trim	0.942497	353	327	1480	634	1.56	0.590	bestrophin-4
K13882	828.77	domain	all	0.950055	321	274	1070	480	0.79	0.591	coronin-1A
K13883	287.30	full	all	0.961099	383	379	1525	499	2.37	0.590	Rab-interacting lysosomal protein
K13884	217.63	domain	trim	0.955634	408	403	2597	497	3.51	0.590	macrophage receptor with collagenous structure
K13885	529.73	full	all	0.736796	923	906	4224	642	6.39	0.590	scavenger receptor class B, member 1
K13886	907.73	full	all	0.693253	1753	1597	7003	747	4.36	0.590	coronin-1B/1C/6
K13887	676.03	full	all	0.956207	1093	993	3286	564	1.72	0.590	coronin-2
K13888	378.63	full	all	0.970121	2035	1614	2064	468	6.09	0.590	membrane fusion protein, macrolide-specific efflux system
K13889	430.63	domain	trim	0.919968	1749	1461	1759	673	8.23	0.590	glutathione transport system substrate-binding protein
K13890	365.03	full	trim	0.834939	1636	1238	812	326	2.59	0.590	glutathione transport system permease protein
K13891	379.63	full	trim	0.789477	1626	1250	1129	363	3.09	0.590	glutathione transport system permease protein
K13892	915.70	full	trim	0.866265	1338	1123	1684	692	1.35	0.590	glutathione transport system ATP-binding protein
K13893	753.10	full	all	0.889228	2970	2569	2634	897	5.23	0.590	microcin C transport system substrate-binding protein
K13894	385.73	full	all	0.995175	2443	1871	975	450	1.52	0.590	microcin C transport system permease protein
K13895	335.07	full	all	0.998446	2420	1931	1154	414	1.65	0.590	microcin C transport system permease protein
K13896	810.83	full	all	0.772246	2260	1932	1631	594	1.61	0.590	microcin C transport system ATP-binding protein
K13897	270.93	domain	all	0.700000	9	9	198	142	0.84	0.588	cystatin-SN
K13898	468.00	full	all	0.490476	9	9	306	303	0.73	0.593	cystatin-SA
K13899	139.47	domain	all	0.575960	897	838	1388	254	8.86	0.590	cystatin-C
K13900	290.37	full	trim	0.543040	12	11	189	141	0.51	0.592	cystatin-S
K13901	244.13	domain	all	0.948718	24	21	288	256	0.90	0.590	cystatin-D
K13902	152.27	domain	all	0.834444	239	216	618	305	4.74	0.590	cystatin-M
K13903	132.20	domain	all	0.981585	409	387	861	226	3.63	0.590	cystatin-F
K13904	186.33	full	all	0.971191	135	125	461	195	1.48	0.589	cystatin-8
K13905	131.03	full	all	1.000000	223	195	852	365	3.44	0.590	cystatin-9
K13906	158.03	full	all	1.000000	129	117	246	138	0.82	0.589	cystatin-11
K13907	37.67	domain	all	0.996105	1427	1282	1329	211	11.88	0.590	cystatin-A/B
K13908	3255.33	domain	all	0.787719	248	248	49206	4255	1.43	0.590	mucin-5
K13909	122.90	full	all	1.000000	58	56	927	358	1.84	0.591	mucin-7
K13910	144.60	domain	all	0.898246	34	31	315	162	1.11	0.589	salivary acidic proline-rich phosphoprotein 1/2
K13911	221.50	full	all	0.470448	30	30	1205	347	1.14	0.590	basic salivary proline-rich protein 1/2
K13912	1580.50	full	all	0.654138	782	782	86414	1530	2.78	0.590	deleted in malignant brain tumors 1 protein
K13913	86.13	full	all	1.000000	33	23	98	57	1.25	0.979	histatin
K13914	74.10	full	all	1.000000	9	8	110	62	1.02	0.900	statherin
K13915	197.63	full	trim	0.599620	1666	1493	2005	313	9.21	0.590	lysozyme C [EC:3.2.1.17]
K13916	59.57	domain	all	0.994253	536	520	1499	341	7.64	0.590	cathelicidin antimicrobial peptide
K13917	473.83	full	trim	0.990403	864	784	2499	861	2.42	0.590	mRNA-capping enzyme [EC:2.7.7.50 3.6.1.74]
K13918	783.20	full	all	0.950799	407	288	499	446	0.61	0.592	glucarate dehydratase-related protein
K13919	319.03	full	all	0.864736	335	200	304	220	1.01	0.590	propanediol dehydratase medium subunit [EC:4.2.1.28]
K13920	212.00	full	all	0.825922	339	207	245	166	1.15	0.591	propanediol dehydratase small subunit [EC:4.2.1.28]
K13921	439.83	domain	trim	0.994350	272	175	418	372	1.04	0.590	1-propanol dehydrogenase
K13922	619.40	full	all	0.966068	392	296	681	467	1.15	0.591	propionaldehyde dehydrogenase [EC:1.2.1.87]
K13923	276.53	full	all	0.996078	230	130	246	210	0.84	0.588	phosphate propanoyltransferase [EC:2.3.1.222]
K13924	396.67	domain	all	0.984112	1502	1455	16717	1377	6.11	0.590	two-component system, chemotaxis family, CheB/CheR fusion protein [EC:2.1.1.80 3.1.1.61]
K13925	474.60	domain	all	0.939394	30	19	1000	669	1.34	0.590	plasmin and fibronectin-binding protein A
K13926	770.93	domain	all	0.991935	1264	1057	2421	1283	1.85	0.589	ribosome-dependent ATPase
K13927	355.60	full	trim	0.887643	121	110	778	459	3.02	0.590	holo-ACP synthase / triphosphoribosyl-dephospho-CoA synthase [EC:2.7.7.61 2.4.2.52]
K13928	243.30	full	all	0.998770	512	406	425	306	1.20	0.589	LysR family transcriptional regulator, malonate utilization transcriptional regulator
K13929	478.10	full	all	1.000000	899	742	726	547	0.75	0.589	malonate decarboxylase alpha subunit [EC:2.3.1.187]
K13930	312.10	full	all	0.933144	893	782	1495	599	3.77	0.590	triphosphoribosyl-dephospho-CoA synthase [EC:2.4.2.52]
K13931	99.30	domain	all	0.973635	862	635	201	103	1.28	0.590	malonate decarboxylase delta subunit
K13932	308.60	full	trim	0.995798	875	649	708	287	1.49	0.589	malonate decarboxylase beta subunit [EC:4.1.1.87]
K13933	213.70	domain	trim	0.881244	800	667	407	259	1.93	0.590	malonate decarboxylase gamma subunit [EC:4.1.1.87]
K13934	75.83	full	all	0.998076	905	782	893	260	6.43	0.590	phosphoribosyl-dephospho-CoA transferase [EC:2.7.7.66]
K13935	293.03	domain	all	0.997056	579	511	467	311	1.76	0.590	malonate decarboxylase epsilon subunit [EC:2.3.1.39]
K13936	199.20	full	all	0.866950	5129	4441	1882	433	10.30	0.590	malonate transporter and related proteins
